,Clarity,D,E,F,G,H,I,J,K,L,M,Cut,Polish,Symmetry,Fluo,Size
1294,SI2,-51,-52,-49,-49,-44,-42,-40,-42,-44,-43,EX,EX,EX,Very Strong,0.80-0.89
1295,IF,-47,-42,-39,-44,-47,-43,-42,-37,-36,-41,EX,DD,DD,Strong,0.80-0.89
1296,VVS1,-42,-40,-41,-41,-46,-45,-42,-37,-38,-44,EX,DD,DD,Strong,0.80-0.89
1297,VVS2,-46,-46,-45,-46,-48,-45,-41,-34,-42,-47,EX,DD,DD,Strong,0.80-0.89
1298,VS1,-48,-46,-44,-44,-42,-44,-39,-34,-40,-41,EX,DD,DD,Strong,0.80-0.89
1299,VS2,-48,-48,-46,-43,-40,-43,-37,-35,-42,-42,EX,DD,DD,Strong,0.80-0.89
1300,SI1,-48,-47,-42,-44,-41,-38,-35,-41,-42,-42,EX,DD,DD,Strong,0.80-0.89
1301,SI2,-50,-51,-48,-48,-43,-40,-37,-39,-41,-40,EX,DD,DD,Strong,0.80-0.89
1302,IF,-20,-15,-13,-18,-24,-22,-23,-20,-19,-24,EX,DD,DD,None,0.80-0.89
1303,VVS1,-15,-13,-15,-15,-23,-24,-23,-20,-21,-27,EX,DD,DD,None,0.80-0.89
1304,VVS2,-19,-19,-19,-20,-25,-24,-22,-17,-25,-30,EX,DD,DD,None,0.80-0.89
1305,VS1,-22,-22,-21,-24,-24,-27,-24,-20,-26,-27,EX,DD,DD,None,0.80-0.89
1306,VS2,-22,-24,-23,-23,-22,-26,-22,-21,-28,-28,EX,DD,DD,None,0.80-0.89
1307,SI1,-26,-27,-23,-25,-24,-23,-21,-28,-29,-29,EX,DD,DD,None,0.80-0.89
1308,SI2,-28,-31,-29,-29,-26,-25,-23,-26,-28,-27,EX,DD,DD,None,0.80-0.89
1309,IF,-30,-24,-21,-25,-30,-27,-27,-23,-22,-27,EX,DD,DD,Faint,0.80-0.89
1310,VVS1,-25,-22,-23,-22,-29,-29,-27,-23,-24,-30,EX,DD,DD,Faint,0.80-0.89
1311,VVS2,-29,-28,-27,-27,-31,-29,-26,-20,-28,-33,EX,DD,DD,Faint,0.80-0.89
1312,VS1,-32,-31,-29,-31,-30,-32,-28,-23,-29,-30,EX,DD,DD,Faint,0.80-0.89
1313,VS2,-32,-33,-31,-30,-28,-31,-26,-24,-31,-31,EX,DD,DD,Faint,0.80-0.89
1314,SI1,-34,-35,-30,-32,-30,-28,-25,-31,-32,-32,EX,DD,DD,Faint,0.80-0.89
1315,SI2,-36,-39,-36,-36,-32,-30,-27,-29,-31,-30,EX,DD,DD,Faint,0.80-0.89
1316,IF,-38,-32,-30,-35,-38,-34,-33,-29,-28,-33,EX,DD,DD,Med,0.80-0.89
1317,VVS1,-33,-30,-32,-32,-37,-36,-33,-29,-30,-36,EX,DD,DD,Med,0.80-0.89
1318,VVS2,-37,-36,-36,-37,-39,-36,-32,-26,-34,-39,EX,DD,DD,Med,0.80-0.89
1319,VS1,-40,-38,-37,-39,-37,-38,-32,-28,-34,-35,EX,DD,DD,Med,0.80-0.89
1320,VS2,-40,-40,-39,-38,-35,-37,-30,-29,-36,-36,EX,DD,DD,Med,0.80-0.89
1321,SI1,-43,-42,-37,-39,-36,-33,-30,-36,-37,-37,EX,DD,DD,Med,0.80-0.89
1322,SI2,-45,-46,-43,-43,-38,-35,-32,-34,-36,-35,EX,DD,DD,Med,0.80-0.89
1323,IF,-52,-47,-44,-49,-52,-48,-47,-42,-41,-46,EX,DD,DD,Very Strong,0.80-0.89
1324,VVS1,-47,-45,-46,-46,-51,-50,-47,-42,-43,-49,EX,DD,DD,Very Strong,0.80-0.89
1325,VVS2,-51,-51,-50,-51,-53,-50,-46,-39,-47,-52,EX,DD,DD,Very Strong,0.80-0.89
1326,VS1,-53,-51,-49,-49,-47,-49,-44,-39,-45,-46,EX,DD,DD,Very Strong,0.80-0.89
1327,VS2,-53,-53,-51,-48,-45,-48,-42,-40,-47,-47,EX,DD,DD,Very Strong,0.80-0.89
1328,SI1,-53,-52,-47,-49,-46,-43,-40,-46,-47,-47,EX,DD,DD,Very Strong,0.80-0.89
1329,SI2,-55,-56,-53,-53,-48,-45,-42,-44,-46,-45,EX,DD,DD,Very Strong,0.80-0.89
1330,IF,-30,-25,-23,-28,-33,-29,-30,-27,-26,-31,VG,DD,DD,None,0.80-0.89
1331,VVS1,-25,-23,-25,-25,-32,-31,-30,-27,-28,-34,VG,DD,DD,None,0.80-0.89
1332,VVS2,-29,-29,-29,-30,-34,-31,-29,-24,-32,-37,VG,DD,DD,None,0.80-0.89
1333,VS1,-31,-31,-30,-33,-32,-33,-30,-26,-32,-33,VG,DD,DD,None,0.80-0.89
1334,VS2,-31,-33,-32,-32,-30,-32,-28,-27,-34,-34,VG,DD,DD,None,0.80-0.89
1335,SI1,-35,-35,-30,-32,-31,-30,-28,-34,-35,-35,VG,DD,DD,None,0.80-0.89
1336,SI2,-37,-39,-36,-36,-33,-32,-30,-32,-34,-33,VG,DD,DD,None,0.80-0.89
1337,IF,-40,-34,-31,-35,-39,-34,-34,-30,-29,-34,VG,DD,DD,Faint,0.80-0.89
1338,VVS1,-35,-32,-33,-32,-38,-36,-34,-30,-31,-37,VG,DD,DD,Faint,0.80-0.89
1339,VVS2,-39,-38,-37,-37,-40,-36,-33,-27,-35,-40,VG,DD,DD,Faint,0.80-0.89
1340,VS1,-41,-40,-38,-40,-38,-38,-34,-29,-35,-36,VG,DD,DD,Faint,0.80-0.89
1341,VS2,-41,-42,-40,-39,-36,-37,-32,-30,-37,-37,VG,DD,DD,Faint,0.80-0.89
1342,SI1,-43,-43,-37,-39,-37,-35,-32,-37,-38,-38,VG,DD,DD,Faint,0.80-0.89
1343,SI2,-45,-47,-43,-43,-39,-37,-34,-35,-37,-36,VG,DD,DD,Faint,0.80-0.89
1344,IF,-48,-42,-40,-45,-47,-41,-40,-36,-35,-40,VG,DD,DD,Med,0.80-0.89
1345,VVS1,-43,-40,-42,-42,-46,-43,-40,-36,-37,-43,VG,DD,DD,Med,0.80-0.89
1346,VVS2,-47,-46,-46,-47,-48,-43,-39,-33,-41,-46,VG,DD,DD,Med,0.80-0.89
1347,VS1,-49,-47,-46,-48,-45,-44,-38,-34,-40,-41,VG,DD,DD,Med,0.80-0.89
1348,VS2,-49,-49,-48,-47,-43,-43,-36,-35,-42,-42,VG,DD,DD,Med,0.80-0.89
1349,SI1,-52,-50,-44,-46,-43,-40,-37,-42,-43,-43,VG,DD,DD,Med,0.80-0.89
1350,SI2,-54,-54,-50,-50,-45,-42,-39,-40,-42,-41,VG,DD,DD,Med,0.80-0.89
1351,IF,-57,-52,-49,-54,-56,-50,-49,-44,-43,-48,VG,DD,DD,Strong,0.80-0.89
1352,VVS1,-52,-50,-51,-51,-55,-52,-49,-44,-45,-51,VG,DD,DD,Strong,0.80-0.89
1353,VVS2,-56,-56,-55,-56,-57,-52,-48,-41,-49,-54,VG,DD,DD,Strong,0.80-0.89
1354,VS1,-57,-55,-53,-53,-50,-50,-45,-40,-46,-47,VG,DD,DD,Strong,0.80-0.89
1355,VS2,-57,-57,-55,-52,-48,-49,-43,-41,-48,-48,VG,DD,DD,Strong,0.80-0.89
1356,SI1,-57,-55,-49,-51,-48,-45,-42,-47,-48,-48,VG,DD,DD,Strong,0.80-0.89
1357,SI2,-59,-59,-55,-55,-50,-47,-44,-45,-47,-46,VG,DD,DD,Strong,0.80-0.89
1358,IF,-62,-57,-54,-59,-61,-55,-54,-49,-48,-53,VG,DD,DD,Very Strong,0.80-0.89
1359,VVS1,-57,-55,-56,-56,-60,-57,-54,-49,-50,-56,VG,DD,DD,Very Strong,0.80-0.89
1360,VVS2,-61,-61,-60,-61,-62,-57,-53,-46,-54,-59,VG,DD,DD,Very Strong,0.80-0.89
1361,VS1,-62,-60,-58,-58,-55,-55,-50,-45,-51,-52,VG,DD,DD,Very Strong,0.80-0.89
1362,VS2,-62,-62,-60,-57,-53,-54,-48,-46,-53,-53,VG,DD,DD,Very Strong,0.80-0.89
1363,SI1,-62,-60,-54,-56,-53,-50,-47,-52,-53,-53,VG,DD,DD,Very Strong,0.80-0.89
1364,SI2,-64,-64,-60,-60,-55,-52,-49,-50,-52,-51,VG,DD,DD,Very Strong,0.80-0.89
1365,IF,-48,-43,-41,-46,-49,-45,-45,-42,-41,-46,GD,DD,DD,None,0.80-0.89
1366,VVS1,-43,-41,-43,-43,-48,-47,-45,-42,-43,-49,GD,DD,DD,None,0.80-0.89
1367,VVS2,-47,-47,-47,-48,-50,-47,-44,-39,-47,-52,GD,DD,DD,None,0.80-0.89
1368,VS1,-49,-48,-47,-50,-48,-49,-45,-40,-46,-47,GD,DD,DD,None,0.80-0.89
1369,VS2,-49,-50,-49,-49,-46,-48,-43,-41,-48,-48,GD,DD,DD,None,0.80-0.89
1370,SI1,-48,-49,-45,-47,-46,-44,-39,-44,-45,-45,GD,DD,DD,None,0.80-0.89
1371,SI2,-50,-53,-51,-51,-48,-46,-41,-42,-44,-43,GD,DD,DD,None,0.80-0.89
1372,IF,-57,-51,-49,-54,-56,-50,-50,-47,-46,-51,GD,DD,DD,Faint,0.80-0.89
1373,VVS1,-52,-49,-51,-51,-55,-52,-50,-47,-48,-54,GD,DD,DD,Faint,0.80-0.89
1374,VVS2,-56,-55,-55,-56,-57,-52,-49,-44,-52,-57,GD,DD,DD,Faint,0.80-0.89
1375,VS1,-56,-55,-53,-56,-54,-54,-49,-44,-50,-51,GD,DD,DD,Faint,0.80-0.89
1376,VS2,-56,-57,-55,-55,-52,-53,-47,-45,-52,-52,GD,DD,DD,Faint,0.80-0.89
1377,SI1,-54,-55,-50,-52,-51,-48,-43,-48,-49,-49,GD,DD,DD,Faint,0.80-0.89
1378,SI2,-56,-59,-56,-56,-53,-50,-45,-46,-48,-47,GD,DD,DD,Faint,0.80-0.89
1379,IF,-65,-59,-57,-62,-65,-60,-60,-57,-56,-61,GD,DD,DD,Med,0.80-0.89
1380,VVS1,-60,-57,-59,-59,-64,-62,-60,-57,-58,-64,GD,DD,DD,Med,0.80-0.89
1381,VVS2,-64,-63,-63,-64,-66,-62,-59,-54,-62,-67,GD,DD,DD,Med,0.80-0.89
1382,VS1,-66,-63,-62,-64,-62,-62,-58,-53,-59,-60,GD,DD,DD,Med,0.80-0.89
1383,VS2,-66,-65,-64,-63,-60,-61,-56,-54,-61,-61,GD,DD,DD,Med,0.80-0.89
1384,SI1,-62,-63,-59,-60,-59,-57,-52,-56,-57,-57,GD,DD,DD,Med,0.80-0.89
1385,SI2,-64,-67,-65,-64,-61,-59,-54,-54,-56,-55,GD,DD,DD,Med,0.80-0.89
1386,IF,-70,-64,-62,-67,-70,-65,-65,-62,-61,-66,GD,DD,DD,Strong,0.80-0.89
1387,VVS1,-65,-62,-64,-64,-69,-67,-65,-62,-63,-69,GD,DD,DD,Strong,0.80-0.89
1388,VVS2,-69,-68,-68,-69,-71,-67,-64,-59,-67,-71,GD,DD,DD,Strong,0.80-0.89
1389,VS1,-71,-68,-67,-69,-67,-67,-63,-58,-64,-65,GD,DD,DD,Strong,0.80-0.89
1390,VS2,-71,-70,-69,-68,-65,-66,-61,-59,-66,-66,GD,DD,DD,Strong,0.80-0.89
1391,SI1,-67,-68,-64,-65,-64,-62,-57,-61,-62,-62,GD,DD,DD,Strong,0.80-0.89
1392,SI2,-69,-71,-70,-69,-66,-64,-59,-59,-61,-60,GD,DD,DD,Strong,0.80-0.89
1393,IF,-75,-69,-67,-72,-75,-70,-70,-67,-66,-71,GD,DD,DD,Very Strong,0.80-0.89
1394,VVS1,-70,-67,-69,-69,-74,-72,-70,-67,-68,-74,GD,DD,DD,Very Strong,0.80-0.89
1395,VVS2,-74,-73,-73,-74,-76,-72,-69,-64,-72,-76,GD,DD,DD,Very Strong,0.80-0.89
1396,VS1,-76,-73,-72,-74,-72,-72,-68,-63,-69,-70,GD,DD,DD,Very Strong,0.80-0.89
1397,VS2,-76,-75,-74,-73,-70,-71,-66,-64,-71,-71,GD,DD,DD,Very Strong,0.80-0.89
1398,SI1,-72,-73,-69,-70,-69,-67,-62,-66,-67,-67,GD,DD,DD,Very Strong,0.80-0.89
1399,SI2,-74,-76,-75,-74,-71,-69,-64,-64,-66,-65,GD,DD,DD,Very Strong,0.80-0.89
1400,IF,-32,-32,-32,-34,-33,-27,-26,-25,-28,-32,EX,EX,EX,None,0.90-0.94
1401,VVS1,-31,-30,-29,-32,-33,-28,-27,-24,-28,-29,EX,EX,EX,None,0.90-0.94
1402,VVS2,-35,-32,-30,-32,-34,-31,-30,-30,-29,-28,EX,EX,EX,None,0.90-0.94
1403,VS1,-36,-34,-31,-31,-32,-31,-30,-28,-29,-31,EX,EX,EX,None,0.90-0.94
1404,VS2,-34,-32,-32,-30,-32,-32,-30,-29,-29,-29,EX,EX,EX,None,0.90-0.94
1405,SI1,-29,-27,-28,-29,-30,-30,-30,-27,-30,-32,EX,EX,EX,None,0.90-0.94
1406,SI2,-34,-33,-30,-33,-32,-30,-30,-31,-30,-29,EX,EX,EX,None,0.90-0.94
1407,IF,-41,-39,-38,-40,-39,-33,-31,-30,-33,-37,EX,EX,EX,Faint,0.90-0.94
1408,VVS1,-40,-37,-35,-38,-39,-34,-32,-29,-33,-34,EX,EX,EX,Faint,0.90-0.94
1409,VVS2,-44,-39,-36,-38,-40,-37,-35,-35,-34,-33,EX,EX,EX,Faint,0.90-0.94
1410,VS1,-45,-41,-37,-36,-36,-35,-34,-32,-33,-35,EX,EX,EX,Faint,0.90-0.94
1411,VS2,-43,-39,-38,-35,-36,-36,-34,-33,-33,-33,EX,EX,EX,Faint,0.90-0.94
1412,SI1,-37,-33,-33,-33,-34,-33,-33,-30,-33,-35,EX,EX,EX,Faint,0.90-0.94
1413,SI2,-42,-39,-35,-37,-36,-33,-33,-34,-33,-32,EX,EX,EX,Faint,0.90-0.94
1414,IF,-48,-47,-47,-49,-48,-42,-40,-38,-41,-45,EX,EX,EX,Med,0.90-0.94
1415,VVS1,-47,-45,-44,-47,-48,-43,-41,-37,-41,-42,EX,EX,EX,Med,0.90-0.94
1416,VVS2,-51,-47,-45,-47,-49,-46,-44,-43,-42,-41,EX,EX,EX,Med,0.90-0.94
1417,VS1,-52,-49,-45,-45,-46,-45,-44,-41,-42,-44,EX,EX,EX,Med,0.90-0.94
1418,VS2,-50,-47,-46,-44,-46,-46,-44,-42,-42,-42,EX,EX,EX,Med,0.90-0.94
1419,SI1,-45,-42,-42,-42,-43,-43,-43,-39,-42,-44,EX,EX,EX,Med,0.90-0.94
1420,SI2,-50,-48,-44,-46,-45,-43,-43,-43,-42,-41,EX,EX,EX,Med,0.90-0.94
1421,IF,-53,-53,-53,-54,-53,-46,-45,-44,-47,-51,EX,EX,EX,Strong,0.90-0.94
1422,VVS1,-52,-51,-50,-52,-53,-47,-46,-43,-47,-48,EX,EX,EX,Strong,0.90-0.94
1423,VVS2,-56,-53,-51,-52,-54,-50,-49,-49,-48,-47,EX,EX,EX,Strong,0.90-0.94
1424,VS1,-57,-53,-50,-49,-50,-48,-47,-45,-46,-48,EX,EX,EX,Strong,0.90-0.94
1425,VS2,-55,-51,-51,-48,-50,-49,-47,-46,-46,-46,EX,EX,EX,Strong,0.90-0.94
1426,SI1,-50,-46,-47,-47,-48,-46,-46,-43,-46,-48,EX,EX,EX,Strong,0.90-0.94
1427,SI2,-55,-52,-49,-51,-50,-46,-46,-47,-46,-45,EX,EX,EX,Strong,0.90-0.94
1428,IF,-58,-58,-58,-59,-58,-51,-50,-49,-52,-56,EX,EX,EX,Very Strong,0.90-0.94
1429,VVS1,-57,-56,-55,-57,-58,-52,-51,-48,-52,-53,EX,EX,EX,Very Strong,0.90-0.94
1430,VVS2,-61,-58,-56,-57,-59,-55,-54,-54,-53,-52,EX,EX,EX,Very Strong,0.90-0.94
1431,VS1,-62,-58,-55,-54,-55,-53,-52,-50,-51,-53,EX,EX,EX,Very Strong,0.90-0.94
1432,VS2,-60,-56,-56,-53,-55,-54,-52,-51,-51,-51,EX,EX,EX,Very Strong,0.90-0.94
1433,SI1,-55,-51,-52,-52,-53,-51,-51,-48,-51,-53,EX,EX,EX,Very Strong,0.90-0.94
1434,SI2,-60,-57,-54,-56,-55,-51,-51,-52,-51,-50,EX,EX,EX,Very Strong,0.90-0.94
1435,IF,-58,-58,-58,-59,-57,-50,-49,-48,-51,-55,EX,DD,DD,Strong,0.90-0.94
1436,VVS1,-57,-56,-55,-57,-57,-51,-50,-47,-51,-52,EX,DD,DD,Strong,0.90-0.94
1437,VVS2,-61,-58,-56,-57,-58,-54,-53,-53,-52,-51,EX,DD,DD,Strong,0.90-0.94
1438,VS1,-61,-57,-54,-53,-53,-51,-50,-48,-49,-51,EX,DD,DD,Strong,0.90-0.94
1439,VS2,-59,-55,-55,-52,-53,-52,-50,-49,-49,-49,EX,DD,DD,Strong,0.90-0.94
1440,SI1,-53,-49,-50,-50,-51,-49,-49,-46,-49,-51,EX,DD,DD,Strong,0.90-0.94
1441,SI2,-58,-55,-52,-54,-53,-49,-49,-50,-49,-48,EX,DD,DD,Strong,0.90-0.94
1442,IF,-37,-37,-37,-39,-37,-31,-30,-29,-32,-36,EX,DD,DD,None,0.90-0.94
1443,VVS1,-36,-35,-34,-37,-37,-32,-31,-28,-32,-33,EX,DD,DD,None,0.90-0.94
1444,VVS2,-40,-37,-35,-37,-38,-35,-34,-34,-33,-32,EX,DD,DD,None,0.90-0.94
1445,VS1,-40,-38,-35,-35,-35,-34,-33,-31,-32,-34,EX,DD,DD,None,0.90-0.94
1446,VS2,-38,-36,-36,-34,-35,-35,-33,-32,-32,-32,EX,DD,DD,None,0.90-0.94
1447,SI1,-32,-30,-31,-32,-33,-33,-33,-30,-33,-35,EX,DD,DD,None,0.90-0.94
1448,SI2,-37,-36,-33,-36,-35,-33,-33,-34,-33,-32,EX,DD,DD,None,0.90-0.94
1449,IF,-46,-44,-43,-45,-43,-37,-35,-34,-37,-41,EX,DD,DD,Faint,0.90-0.94
1450,VVS1,-45,-42,-40,-43,-43,-38,-36,-33,-37,-38,EX,DD,DD,Faint,0.90-0.94
1451,VVS2,-49,-44,-41,-43,-44,-41,-39,-39,-38,-37,EX,DD,DD,Faint,0.90-0.94
1452,VS1,-49,-45,-41,-40,-39,-38,-37,-35,-36,-38,EX,DD,DD,Faint,0.90-0.94
1453,VS2,-47,-43,-42,-39,-39,-39,-37,-36,-36,-36,EX,DD,DD,Faint,0.90-0.94
1454,SI1,-40,-36,-36,-36,-37,-36,-36,-33,-36,-38,EX,DD,DD,Faint,0.90-0.94
1455,SI2,-45,-42,-38,-40,-39,-36,-36,-37,-36,-35,EX,DD,DD,Faint,0.90-0.94
1456,IF,-53,-52,-52,-54,-52,-46,-44,-42,-45,-49,EX,DD,DD,Med,0.90-0.94
1457,VVS1,-52,-50,-49,-52,-52,-47,-45,-41,-45,-46,EX,DD,DD,Med,0.90-0.94
1458,VVS2,-56,-52,-50,-52,-53,-50,-48,-47,-46,-45,EX,DD,DD,Med,0.90-0.94
1459,VS1,-56,-53,-49,-49,-49,-48,-47,-44,-45,-47,EX,DD,DD,Med,0.90-0.94
1460,VS2,-54,-51,-50,-48,-49,-49,-47,-45,-45,-45,EX,DD,DD,Med,0.90-0.94
1461,SI1,-48,-45,-45,-45,-46,-46,-46,-42,-45,-47,EX,DD,DD,Med,0.90-0.94
1462,SI2,-53,-51,-47,-49,-48,-46,-46,-46,-45,-44,EX,DD,DD,Med,0.90-0.94
1463,IF,-63,-63,-63,-64,-62,-55,-54,-53,-56,-60,EX,DD,DD,Very Strong,0.90-0.94
1464,VVS1,-62,-61,-60,-62,-62,-56,-55,-52,-56,-57,EX,DD,DD,Very Strong,0.90-0.94
1465,VVS2,-66,-63,-61,-62,-63,-59,-58,-58,-57,-56,EX,DD,DD,Very Strong,0.90-0.94
1466,VS1,-66,-62,-59,-58,-58,-56,-55,-53,-54,-56,EX,DD,DD,Very Strong,0.90-0.94
1467,VS2,-64,-60,-60,-57,-58,-57,-55,-54,-54,-54,EX,DD,DD,Very Strong,0.90-0.94
1468,SI1,-58,-54,-55,-55,-56,-54,-54,-51,-54,-56,EX,DD,DD,Very Strong,0.90-0.94
1469,SI2,-63,-60,-57,-59,-58,-54,-54,-55,-54,-53,EX,DD,DD,Very Strong,0.90-0.94
1470,IF,-47,-47,-47,-49,-47,-40,-38,-37,-40,-44,VG,DD,DD,None,0.90-0.94
1471,VVS1,-46,-45,-44,-47,-47,-41,-39,-36,-40,-41,VG,DD,DD,None,0.90-0.94
1472,VVS2,-50,-47,-45,-47,-48,-44,-42,-42,-41,-40,VG,DD,DD,None,0.90-0.94
1473,VS1,-50,-48,-45,-45,-45,-43,-41,-39,-40,-42,VG,DD,DD,None,0.90-0.94
1474,VS2,-48,-46,-46,-44,-45,-44,-41,-40,-40,-40,VG,DD,DD,None,0.90-0.94
1475,SI1,-43,-40,-40,-41,-42,-41,-40,-37,-40,-42,VG,DD,DD,None,0.90-0.94
1476,SI2,-48,-46,-42,-45,-44,-41,-40,-41,-40,-39,VG,DD,DD,None,0.90-0.94
1477,IF,-56,-54,-53,-55,-53,-46,-43,-42,-45,-49,VG,DD,DD,Faint,0.90-0.94
1478,VVS1,-55,-52,-50,-53,-53,-47,-44,-41,-45,-46,VG,DD,DD,Faint,0.90-0.94
1479,VVS2,-59,-54,-51,-53,-54,-50,-47,-47,-46,-45,VG,DD,DD,Faint,0.90-0.94
1480,VS1,-59,-55,-51,-50,-49,-47,-45,-43,-44,-46,VG,DD,DD,Faint,0.90-0.94
1481,VS2,-57,-53,-52,-49,-49,-48,-45,-44,-44,-44,VG,DD,DD,Faint,0.90-0.94
1482,SI1,-51,-46,-45,-45,-46,-44,-43,-40,-43,-45,VG,DD,DD,Faint,0.90-0.94
1483,SI2,-56,-52,-47,-49,-48,-44,-43,-44,-43,-42,VG,DD,DD,Faint,0.90-0.94
1484,IF,-63,-62,-62,-64,-62,-55,-52,-50,-53,-57,VG,DD,DD,Med,0.90-0.94
1485,VVS1,-62,-60,-59,-62,-62,-56,-53,-49,-53,-54,VG,DD,DD,Med,0.90-0.94
1486,VVS2,-65,-62,-60,-62,-63,-59,-56,-55,-54,-53,VG,DD,DD,Med,0.90-0.94
1487,VS1,-65,-63,-59,-59,-59,-57,-55,-52,-53,-55,VG,DD,DD,Med,0.90-0.94
1488,VS2,-64,-61,-60,-58,-59,-58,-55,-53,-53,-53,VG,DD,DD,Med,0.90-0.94
1489,SI1,-59,-55,-54,-54,-55,-54,-53,-49,-52,-54,VG,DD,DD,Med,0.90-0.94
1490,SI2,-64,-61,-56,-58,-57,-54,-53,-53,-52,-51,VG,DD,DD,Med,0.90-0.94
1491,IF,-68,-68,-68,-68,-67,-59,-57,-56,-59,-63,VG,DD,DD,Strong,0.90-0.94
1492,VVS1,-67,-66,-65,-67,-67,-60,-58,-55,-59,-60,VG,DD,DD,Strong,0.90-0.94
1493,VVS2,-68,-68,-66,-67,-68,-63,-61,-61,-60,-59,VG,DD,DD,Strong,0.90-0.94
1494,VS1,-68,-67,-64,-63,-63,-60,-58,-56,-57,-59,VG,DD,DD,Strong,0.90-0.94
1495,VS2,-68,-65,-65,-62,-63,-61,-58,-57,-57,-57,VG,DD,DD,Strong,0.90-0.94
1496,SI1,-64,-59,-59,-59,-60,-57,-56,-53,-56,-58,VG,DD,DD,Strong,0.90-0.94
1497,SI2,-68,-65,-61,-63,-62,-57,-56,-57,-56,-55,VG,DD,DD,Strong,0.90-0.94
1498,IF,-73,-73,-73,-73,-72,-64,-62,-61,-64,-68,VG,DD,DD,Very Strong,0.90-0.94
1499,VVS1,-72,-71,-70,-72,-72,-65,-63,-60,-64,-65,VG,DD,DD,Very Strong,0.90-0.94
1500,VVS2,-73,-73,-71,-72,-73,-68,-66,-66,-65,-64,VG,DD,DD,Very Strong,0.90-0.94
1501,VS1,-73,-72,-69,-68,-68,-65,-63,-61,-62,-64,VG,DD,DD,Very Strong,0.90-0.94
1502,VS2,-73,-70,-70,-67,-68,-66,-63,-62,-62,-62,VG,DD,DD,Very Strong,0.90-0.94
1503,SI1,-69,-64,-64,-64,-65,-62,-61,-58,-61,-63,VG,DD,DD,Very Strong,0.90-0.94
1504,SI2,-73,-70,-66,-68,-67,-62,-61,-62,-61,-60,VG,DD,DD,Very Strong,0.90-0.94
1505,IF,-63,-63,-63,-65,-63,-56,-55,-54,-57,-61,GD,DD,DD,None,0.90-0.94
1506,VVS1,-62,-61,-60,-63,-63,-57,-56,-53,-57,-58,GD,DD,DD,None,0.90-0.94
1507,VVS2,-65,-63,-61,-63,-64,-60,-59,-59,-58,-57,GD,DD,DD,None,0.90-0.94
1508,VS1,-65,-64,-61,-60,-61,-59,-57,-55,-56,-58,GD,DD,DD,None,0.90-0.94
1509,VS2,-64,-62,-62,-59,-61,-60,-57,-56,-56,-56,GD,DD,DD,None,0.90-0.94
1510,SI1,-59,-57,-58,-58,-58,-57,-56,-53,-56,-58,GD,DD,DD,None,0.90-0.94
1511,SI2,-64,-63,-60,-62,-60,-57,-56,-57,-56,-55,GD,DD,DD,None,0.90-0.94
1512,IF,-67,-67,-67,-67,-67,-61,-59,-58,-61,-65,GD,DD,DD,Faint,0.90-0.94
1513,VVS1,-67,-67,-66,-67,-67,-62,-60,-57,-61,-62,GD,DD,DD,Faint,0.90-0.94
1514,VVS2,-67,-67,-67,-67,-67,-65,-63,-63,-62,-61,GD,DD,DD,Faint,0.90-0.94
1515,VS1,-67,-67,-66,-65,-66,-64,-61,-59,-60,-62,GD,DD,DD,Faint,0.90-0.94
1516,VS2,-67,-67,-67,-64,-66,-65,-61,-60,-60,-60,GD,DD,DD,Faint,0.90-0.94
1517,SI1,-65,-63,-63,-63,-63,-62,-60,-56,-59,-61,GD,DD,DD,Faint,0.90-0.94
1518,SI2,-67,-67,-65,-67,-65,-62,-60,-60,-59,-58,GD,DD,DD,Faint,0.90-0.94
1519,IF,-69,-69,-69,-69,-69,-69,-68,-65,-68,-69,GD,DD,DD,Med,0.90-0.94
1520,VVS1,-69,-69,-69,-69,-69,-69,-69,-64,-68,-69,GD,DD,DD,Med,0.90-0.94
1521,VVS2,-69,-69,-69,-69,-69,-69,-69,-69,-69,-68,GD,DD,DD,Med,0.90-0.94
1522,VS1,-69,-69,-69,-69,-69,-69,-69,-66,-67,-69,GD,DD,DD,Med,0.90-0.94
1523,VS2,-69,-69,-69,-69,-69,-69,-69,-67,-67,-67,GD,DD,DD,Med,0.90-0.94
1524,SI1,-69,-69,-69,-69,-69,-69,-67,-63,-66,-68,GD,DD,DD,Med,0.90-0.94
1525,SI2,-69,-69,-69,-69,-69,-69,-67,-67,-66,-65,GD,DD,DD,Med,0.90-0.94
1526,IF,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,GD,DD,DD,Strong,0.90-0.94
1527,VVS1,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,GD,DD,DD,Strong,0.90-0.94
1528,VVS2,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,GD,DD,DD,Strong,0.90-0.94
1529,VS1,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,GD,DD,DD,Strong,0.90-0.94
1530,VS2,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,GD,DD,DD,Strong,0.90-0.94
1531,SI1,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,GD,DD,DD,Strong,0.90-0.94
1532,SI2,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,GD,DD,DD,Strong,0.90-0.94
1533,IF,-76,-76,-76,-76,-76,-76,-76,-76,-76,-76,GD,DD,DD,Very Strong,0.90-0.94
